epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,170.36,0.88784,2.24553,2.58846,1.35434,0,0.23751,0.33944,0.23556,0.16836,0.23704,0.33387,0.23218,0.14983,1.12549,2.67675,2.45122,1.59666,0,0.000207544,0.000207544,0.000207544
2,336.952,0.9496,2.1726,2.24835,1.39167,0,0.25538,0.39973,0.25318,0.18142,0.25906,0.39882,0.25619,0.17813,0.98331,2.30889,2.46318,1.51123,0,0.000413819,0.000413819,0.000413819
3,497.087,1.00679,2.30917,2.28657,1.44298,0,0.31509,0.40802,0.2988,0.20684,0.31147,0.4013,0.2842,0.18343,1.05955,2.51719,2.15108,1.54116,0,0.000618031,0.000618031,0.000618031
4,662.939,1.0078,2.3007,2.2014,1.43163,0,0.30994,0.46431,0.34241,0.24623,0.30938,0.46822,0.34445,0.24241,0.9593,2.09757,2.11177,1.4269,0,0.000615719,0.000615719,0.000615719
5,828.09,0.95354,2.19013,2.12277,1.39915,0,0.36296,0.42925,0.36512,0.26642,0.37392,0.44085,0.37079,0.26852,0.90942,1.97232,2.02307,1.40524,0,0.000612625,0.000612625,0.000612625
6,992.903,0.93342,2.15531,2.06634,1.38511,0,0.5134,0.41747,0.40568,0.30915,0.51507,0.42626,0.40551,0.30179,0.82985,1.93354,1.81643,1.33179,0,0.000609531,0.000609531,0.000609531
7,1157.67,0.88657,2.05429,1.97993,1.35367,0,0.40789,0.47879,0.42368,0.32169,0.41448,0.48017,0.42317,0.31478,0.84164,1.87153,1.75427,1.33725,0,0.000606437,0.000606437,0.000606437
8,1322.43,0.87965,2.07352,1.96783,1.3459,0,0.40358,0.54289,0.45986,0.36148,0.41429,0.53831,0.45807,0.3468,0.79559,1.81895,1.68354,1.30341,0,0.000603344,0.000603344,0.000603344
9,1487.44,0.8515,2.01099,1.90838,1.33127,0,0.37721,0.53904,0.45544,0.3485,0.37588,0.53837,0.45249,0.344,0.82849,1.73796,1.66146,1.29499,0,0.00060025,0.00060025,0.00060025
10,1651.96,0.83078,1.95539,1.84425,1.31166,0,0.42539,0.51328,0.43397,0.33793,0.4256,0.51329,0.43043,0.3257,0.79571,1.73436,1.66425,1.27748,0,0.000597156,0.000597156,0.000597156
11,1816.6,0.81796,1.88369,1.82848,1.29556,0,0.43434,0.48337,0.4592,0.36086,0.53838,0.47536,0.4585,0.34269,0.79424,1.76971,1.6479,1.28822,0,0.000594062,0.000594062,0.000594062
12,1981.22,0.821,1.92809,1.7923,1.29598,0,0.46066,0.49471,0.48596,0.38514,0.46857,0.50371,0.49132,0.37111,0.76571,1.75601,1.57529,1.24538,0,0.000590969,0.000590969,0.000590969
13,2146.31,0.80044,1.88209,1.77356,1.28041,0,0.44754,0.53547,0.49235,0.39434,0.45157,0.54713,0.49298,0.38056,0.75588,1.68996,1.57326,1.24926,0,0.000587875,0.000587875,0.000587875
14,2311.3,0.80527,1.90463,1.76485,1.29151,0,0.44356,0.55325,0.49177,0.38887,0.45177,0.55501,0.49443,0.37853,0.73791,1.61902,1.56825,1.21824,0,0.000584781,0.000584781,0.000584781
15,2476.03,0.80066,1.85647,1.74822,1.27949,0,0.45191,0.53791,0.49205,0.39541,0.46868,0.52684,0.4936,0.38325,0.70958,1.59741,1.52199,1.21037,0,0.000581687,0.000581687,0.000581687
16,2640.68,0.77287,1.83148,1.70363,1.26342,0,0.47118,0.53774,0.49665,0.39691,0.46787,0.53579,0.4924,0.38117,0.73159,1.69615,1.53101,1.24226,0,0.000578594,0.000578594,0.000578594
17,2805.35,0.77254,1.81192,1.69047,1.2619,0,0.47433,0.54665,0.50247,0.40368,0.48047,0.55387,0.50185,0.38428,0.69078,1.63627,1.52293,1.19627,0,0.0005755,0.0005755,0.0005755
18,2969.72,0.76424,1.79951,1.67271,1.25937,0,0.48127,0.55576,0.52118,0.42185,0.48767,0.55812,0.52154,0.40381,0.70961,1.61074,1.45236,1.21408,0,0.000572406,0.000572406,0.000572406
