epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,90.0474,0.98132,2.52105,3.04994,1.38016,0,0.29675,0.3894,0.30593,0.2217,0.33222,0.33962,0.30184,0.21281,0.93302,2.16904,2.87144,1.37675,0,0.000206755,0.000206755,0.000206755
2,172.499,0.90828,2.10208,2.14216,1.30374,0,0.33529,0.41903,0.33227,0.22605,0.33882,0.42179,0.32896,0.22166,1.12102,2.39088,2.09288,1.54577,0,0.000413034,0.000413034,0.000413034
3,257.333,1.00101,2.26101,2.16317,1.37328,0,0.29987,0.43837,0.31394,0.21247,0.31301,0.43047,0.31412,0.20941,1.10968,2.46941,2.27334,1.53742,0,0.00061725,0.00061725,0.00061725
4,333.699,0.96667,2.16612,2.05719,1.34278,0,0.36552,0.41832,0.36605,0.25894,0.373,0.42513,0.3679,0.25684,1.00121,2.07028,1.97225,1.43617,0,0.000615719,0.000615719,0.000615719
5,415.454,0.94994,2.13717,1.99897,1.33464,0,0.43004,0.45331,0.39321,0.28102,0.50724,0.42789,0.39515,0.28354,1.03227,2.09416,1.88351,1.43673,0,0.000612625,0.000612625,0.000612625
6,497.377,0.90734,2.0483,1.91909,1.30095,0,0.35552,0.54754,0.42816,0.31404,0.36239,0.54332,0.42965,0.30972,0.92683,1.92726,1.72856,1.36975,0,0.000609531,0.000609531,0.000609531
7,579.15,0.88937,2.01575,1.8729,1.28741,0,0.42296,0.50992,0.44694,0.32888,0.43018,0.50952,0.44496,0.32535,0.90788,1.86455,1.67608,1.34691,0,0.000606437,0.000606437,0.000606437
8,660.845,0.87938,1.98562,1.84314,1.29312,0,0.4959,0.42956,0.39199,0.29094,0.50072,0.43297,0.39563,0.28677,0.9695,1.95555,1.80643,1.38922,0,0.000603344,0.000603344,0.000603344
9,742.481,0.86555,1.96543,1.79941,1.28025,0,0.42626,0.45632,0.42889,0.31316,0.43113,0.46784,0.43301,0.31361,0.9419,1.84029,1.75766,1.37525,0,0.00060025,0.00060025,0.00060025
10,824.022,0.84274,1.90668,1.75929,1.26554,0,0.44399,0.53663,0.46227,0.34319,0.45104,0.52845,0.46097,0.34234,0.87468,1.76128,1.62537,1.31875,0,0.000597156,0.000597156,0.000597156
11,905.653,0.83054,1.8962,1.7238,1.24842,0,0.43377,0.51597,0.46571,0.35305,0.43676,0.51642,0.46556,0.35201,0.85005,1.76868,1.65207,1.28937,0,0.000594062,0.000594062,0.000594062
12,987.258,0.82177,1.85092,1.70238,1.24623,0,0.55235,0.49022,0.48394,0.37472,0.55977,0.49563,0.49465,0.37383,0.81329,1.68267,1.56278,1.27523,0,0.000590969,0.000590969,0.000590969
13,1068.77,0.80807,1.81557,1.65664,1.23721,0,0.46934,0.56319,0.49492,0.38547,0.47829,0.56469,0.50046,0.38005,0.82285,1.73518,1.57085,1.27134,0,0.000587875,0.000587875,0.000587875
14,1150.52,0.79857,1.84914,1.6398,1.22459,0,0.4529,0.53962,0.48622,0.37516,0.456,0.54255,0.48542,0.36506,0.83088,1.75916,1.56847,1.28229,0,0.000584781,0.000584781,0.000584781
15,1232.14,0.79816,1.8484,1.64901,1.2289,0,0.46298,0.51148,0.47765,0.36765,0.46427,0.50759,0.47535,0.36392,0.82387,1.70692,1.55065,1.27053,0,0.000581687,0.000581687,0.000581687
16,1313.64,0.78014,1.77746,1.6025,1.21964,0,0.58102,0.51473,0.51077,0.39962,0.58412,0.51581,0.51576,0.39664,0.79997,1.65593,1.51687,1.25427,0,0.000578594,0.000578594,0.000578594
17,1395.01,0.76417,1.75695,1.59083,1.20909,0,0.4984,0.51641,0.4974,0.38631,0.51829,0.50247,0.49771,0.37905,0.80691,1.74028,1.55546,1.26469,0,0.0005755,0.0005755,0.0005755
18,1476.53,0.77247,1.77564,1.5898,1.21571,0,0.44845,0.51696,0.49095,0.38486,0.45087,0.51965,0.48892,0.37946,0.79439,1.61249,1.53475,1.24417,0,0.000572406,0.000572406,0.000572406
19,1558.13,0.76515,1.76065,1.57535,1.20998,0,0.58298,0.48907,0.49541,0.37817,0.58595,0.49186,0.49765,0.36887,0.83718,1.84565,1.55779,1.28623,0,0.000569313,0.000569313,0.000569313
20,1639.48,0.75885,1.72965,1.54523,1.20157,0,0.46282,0.55922,0.50266,0.39871,0.45489,0.56987,0.50257,0.38795,0.77409,1.69598,1.56727,1.23292,0,0.000566219,0.000566219,0.000566219
21,1720.74,0.75542,1.71955,1.53739,1.19833,0,0.46437,0.56342,0.5234,0.41543,0.47524,0.55336,0.52009,0.40595,0.77453,1.62079,1.46274,1.2252,0,0.000563125,0.000563125,0.000563125
22,1802.31,0.75631,1.74158,1.50419,1.19738,0,0.50934,0.55164,0.52817,0.41914,0.51584,0.54446,0.52317,0.40403,0.74906,1.63407,1.45084,1.20648,0,0.000560031,0.000560031,0.000560031
23,1883.7,0.74814,1.70248,1.51321,1.19542,0,0.50169,0.51684,0.50924,0.40702,0.49928,0.51201,0.50767,0.39524,0.77911,1.62182,1.48786,1.22781,0,0.000556938,0.000556938,0.000556938
24,1965.22,0.74447,1.70644,1.50782,1.18925,0,0.48481,0.51196,0.50229,0.39163,0.48942,0.51575,0.50454,0.39055,0.8044,1.61985,1.50338,1.25194,0,0.000553844,0.000553844,0.000553844
25,2046.7,0.73763,1.69441,1.50155,1.18632,0,0.5141,0.54034,0.54333,0.4392,0.52084,0.54076,0.54025,0.41896,0.71836,1.69022,1.46186,1.18166,0,0.00055075,0.00055075,0.00055075
26,2128.26,0.7336,1.71094,1.48095,1.18178,0,0.50009,0.57543,0.53799,0.42917,0.50015,0.57678,0.5364,0.42099,0.75097,1.63789,1.40684,1.19362,0,0.000547656,0.000547656,0.000547656
27,2209.65,0.71173,1.61155,1.44204,1.16475,0,0.48794,0.56209,0.51573,0.4119,0.50081,0.54829,0.51726,0.40103,0.7591,1.57416,1.45059,1.21703,0,0.000544563,0.000544563,0.000544563
28,2290.97,0.71911,1.66067,1.42909,1.17416,0,0.54872,0.52534,0.54129,0.43339,0.55082,0.52591,0.53969,0.42194,0.72987,1.57161,1.37225,1.18981,0,0.000541469,0.000541469,0.000541469
29,2372.67,0.71827,1.6554,1.43482,1.17006,0,0.51039,0.53807,0.52751,0.42104,0.52212,0.52636,0.52819,0.41118,0.74813,1.59784,1.46345,1.20974,0,0.000538375,0.000538375,0.000538375
30,2454.18,0.72468,1.65135,1.42026,1.17558,0,0.48893,0.55143,0.51823,0.41134,0.49424,0.54782,0.51453,0.39529,0.76822,1.73553,1.51929,1.20965,0,0.000535281,0.000535281,0.000535281
31,2535.57,0.70292,1.6304,1.40457,1.15909,0,0.53152,0.56311,0.53499,0.42863,0.53393,0.56725,0.53344,0.41445,0.73984,1.60501,1.39512,1.20179,0,0.000532187,0.000532187,0.000532187
32,2616.78,0.704,1.62159,1.37275,1.15886,0,0.53094,0.53129,0.54407,0.43891,0.55018,0.52996,0.54,0.42486,0.72649,1.57177,1.39606,1.19184,0,0.000529094,0.000529094,0.000529094
33,2698.17,0.69677,1.60487,1.37461,1.15218,0,0.49999,0.56743,0.53725,0.43704,0.49966,0.56887,0.53371,0.42337,0.70715,1.5575,1.3889,1.17613,0,0.000526,0.000526,0.000526
34,2779.77,0.69832,1.59857,1.37183,1.16036,0,0.48054,0.5423,0.50865,0.40559,0.4827,0.5451,0.50614,0.39463,0.76677,1.5976,1.48822,1.22913,0,0.000522906,0.000522906,0.000522906
35,2861.4,0.68397,1.54308,1.35994,1.14266,0,0.51614,0.57369,0.55438,0.44867,0.51418,0.57262,0.54561,0.43283,0.71864,1.56418,1.37793,1.18621,0,0.000519812,0.000519812,0.000519812
36,2942.85,0.68611,1.5852,1.33699,1.14378,0,0.48686,0.58033,0.52409,0.42323,0.49228,0.57726,0.52484,0.40985,0.74584,1.61172,1.52025,1.2062,0,0.000516719,0.000516719,0.000516719
37,3024.33,0.67748,1.57704,1.34118,1.14018,0,0.54808,0.56476,0.55985,0.45556,0.54291,0.56065,0.5505,0.43929,0.71996,1.53452,1.34191,1.18695,0,0.000513625,0.000513625,0.000513625
38,3105.84,0.68882,1.56537,1.33716,1.14456,0,0.54679,0.57583,0.55542,0.44927,0.5478,0.57234,0.55227,0.43568,0.72871,1.55136,1.34901,1.2104,0,0.000510531,0.000510531,0.000510531
39,3187.32,0.69296,1.60572,1.33469,1.15193,0,0.5411,0.51879,0.52726,0.41918,0.54125,0.52576,0.52398,0.41245,0.7544,1.57717,1.45023,1.22132,0,0.000507438,0.000507438,0.000507438
40,3268.47,0.6647,1.49881,1.29059,1.12709,0,0.51717,0.54411,0.53652,0.43637,0.5216,0.54776,0.53832,0.42501,0.73106,1.57179,1.40285,1.20554,0,0.000504344,0.000504344,0.000504344
41,3349.99,0.68144,1.56966,1.31636,1.13968,0,0.49391,0.60264,0.54758,0.44247,0.49649,0.59457,0.5375,0.4249,0.72508,1.52798,1.35412,1.18946,0,0.00050125,0.00050125,0.00050125
42,3431.24,0.67109,1.56306,1.30541,1.13477,0,0.53019,0.58236,0.54339,0.43962,0.52918,0.58132,0.54131,0.43147,0.74436,1.58913,1.41089,1.20146,0,0.000498156,0.000498156,0.000498156
43,3512.55,0.66839,1.55532,1.27431,1.13299,0,0.50945,0.57388,0.5525,0.44519,0.5091,0.56254,0.54624,0.42665,0.70845,1.52066,1.42875,1.16797,0,0.000495063,0.000495063,0.000495063
44,3593.8,0.66504,1.53509,1.28386,1.1319,0,0.5048,0.58834,0.55479,0.45418,0.50501,0.59082,0.55539,0.43832,0.70528,1.50541,1.36982,1.17504,0,0.000491969,0.000491969,0.000491969
45,3675.13,0.66839,1.53906,1.27061,1.13414,0,0.54924,0.57539,0.56421,0.46137,0.55647,0.57583,0.56366,0.446,0.68921,1.43053,1.32303,1.1544,0,0.000488875,0.000488875,0.000488875
46,3756.56,0.65322,1.50632,1.24898,1.11849,0,0.5352,0.59313,0.569,0.46357,0.53832,0.59258,0.56638,0.45005,0.72485,1.52082,1.36409,1.17638,0,0.000485781,0.000485781,0.000485781
47,3838,0.64793,1.48598,1.2355,1.11762,0,0.51093,0.57696,0.54978,0.44853,0.51369,0.5757,0.55196,0.43705,0.72092,1.5566,1.40694,1.18933,0,0.000482687,0.000482687,0.000482687
48,3919.4,0.65733,1.52369,1.25748,1.12105,0,0.51998,0.56689,0.54482,0.4423,0.51763,0.5731,0.5432,0.43046,0.71492,1.56236,1.37853,1.17351,0,0.000479594,0.000479594,0.000479594
49,4000.78,0.65442,1.51919,1.23784,1.12396,0,0.53462,0.56188,0.54997,0.44784,0.54321,0.56242,0.5493,0.43303,0.72711,1.55121,1.34721,1.20102,0,0.0004765,0.0004765,0.0004765
50,4082.22,0.6422,1.47053,1.20131,1.10754,0,0.51544,0.57698,0.55172,0.45156,0.52182,0.57582,0.54893,0.43737,0.70088,1.55877,1.37801,1.16366,0,0.000473406,0.000473406,0.000473406
51,4163.65,0.64783,1.47742,1.19746,1.11749,0,0.54977,0.54948,0.54509,0.44422,0.55132,0.54898,0.54113,0.42313,0.71595,1.69515,1.38355,1.1827,0,0.000470312,0.000470312,0.000470312
